timestamp,total_cement_produced,production_target,oee,energy_consumption,clinker_production_rate,kiln_running_hours,kiln_temperature,mill_throughput,bagging_output,downtime_kiln,downtime_crusher,downtime_mill,scheduled_maintenance,unscheduled_maintenance,mttr,mtbf,blaine_fineness,lime_saturation_factor,free_lime_content,compressive_strength_2d,compressive_strength_7d,compressive_strength_28d,dust_emissions,co2_emissions,water_usage,noise_levels,limestone_stock,clinker_stock,cement_stock,hourly_production
2025-05-02 08:38:12.962084,26.0,120.0,93.11,108.16,64.05,10.42,1174.78,57.89,1.0,1.04,0.42,0.14,0.24,0.43,2.53,74.84,3339.28,1.12,1.29,37.68,48.83,40.8,51.67,808.64,190.18,88.5,955.58,749.67,1260.39,1.0
2025-05-02 08:38:13.141713,29.0,120.0,92.14,93.57,63.09,4.41,1145.53,45.0,3.0,0.05,0.35,0.16,0.37,0.18,0.7,49.44,3310.36,1.0,2.22,38.76,42.04,45.19,43.23,764.32,190.74,87.65,1035.4,915.48,1194.83,3.0
2025-05-02 08:38:17.969866,31.0,120.0,88.97,107.9,80.06,6.04,1157.0,45.0,2.0,0.05,0.55,0.06,0.05,0.05,2.23,30.0,3454.4,1.15,1.59,36.38,41.94,49.41,48.68,796.07,198.42,89.69,1074.74,804.63,1139.84,2.0
2025-05-02 08:38:18.147850,34.0,120.0,93.76,114.33,58.77,6.98,1193.73,80.0,3.0,0.91,0.18,0.05,0.59,0.16,1.48,30.0,3335.38,0.93,2.3,38.0,40.53,44.45,43.41,774.14,174.32,88.12,972.74,839.65,1060.28,3.0
2025-05-02 08:38:23.002200,36.0,120.0,91.85,98.4,82.29,6.92,1262.82,45.0,2.0,0.33,0.49,0.52,0.05,0.53,1.8,94.59,3343.62,0.93,1.67,40.77,46.86,44.07,44.52,715.23,215.16,85.86,953.67,694.26,1153.97,2.0
2025-05-02 08:38:23.157075,37.0,120.0,92.46,102.04,63.46,2.06,1249.33,55.74,1.0,1.06,0.16,0.4,0.37,0.17,1.88,86.19,3365.9,1.05,2.98,39.76,43.26,45.45,40.94,817.14,196.13,87.1,1042.23,773.07,1098.77,1.0
2025-05-02 08:38:28.008574,38.0,120.0,90.42,113.42,70.43,7.7,1171.06,45.0,1.0,0.08,0.56,0.34,0.3,0.28,1.04,33.12,3367.06,0.99,1.43,38.5,42.95,48.34,48.65,728.88,185.18,90.89,980.25,945.71,1128.43,1.0
2025-05-02 08:38:28.165773,40.0,120.0,88.11,106.44,76.96,7.98,1153.47,78.6,2.0,0.57,0.2,0.53,0.15,0.62,2.42,35.36,3363.27,1.11,0.85,41.91,45.86,42.51,39.28,780.43,189.3,87.99,914.96,722.46,1309.39,2.0
2025-05-02 08:38:33.015073,42.0,120.0,91.0,107.2,59.82,1.0,1219.88,61.54,2.0,0.31,0.19,0.49,0.13,0.45,2.42,127.39,3340.65,1.03,2.49,30.84,45.57,43.33,44.52,710.55,183.68,88.96,1015.64,909.61,1053.74,2.0
2025-05-02 08:38:33.173996,45.0,120.0,96.79,97.63,71.0,5.97,1186.36,68.44,3.0,0.05,0.74,0.82,0.54,0.37,1.34,90.27,3561.54,0.97,2.05,41.91,37.55,47.23,52.9,736.99,198.76,85.35,1163.44,805.81,1377.99,3.0
2025-05-02 08:38:38.050169,48.0,120.0,93.38,112.19,81.54,4.65,1223.95,77.49,3.0,0.69,0.67,0.61,0.37,0.39,0.5,134.32,3518.2,1.1,2.3,37.03,45.26,47.5,42.6,783.29,191.97,87.56,913.82,821.8,1109.27,3.0
2025-05-02 08:38:38.179157,49.0,120.0,88.67,88.97,75.84,8.05,1293.03,45.0,1.0,0.09,0.29,0.37,0.4,0.39,0.77,40.71,3316.63,1.05,1.61,43.22,44.71,39.93,50.58,792.19,204.7,88.64,1014.51,804.24,1216.98,1.0
2025-05-02 08:38:43.059600,52.0,120.0,90.51,107.51,62.76,1.22,1228.83,63.22,3.0,0.3,0.15,0.86,0.19,0.35,3.25,82.71,3404.25,0.92,1.6,45.23,44.6,48.59,41.65,754.69,188.41,86.88,1199.76,787.42,1137.57,3.0
2025-05-02 08:38:43.185353,54.0,120.0,97.16,95.19,63.46,2.53,1212.13,59.34,2.0,0.41,0.4,0.81,0.28,0.17,0.5,103.7,3293.4,1.06,2.37,36.84,46.16,39.42,31.65,757.09,194.05,87.74,1063.58,806.35,1187.59,2.0
2025-05-02 08:38:48.092475,57.0,120.0,92.58,101.74,66.21,4.55,1194.85,52.64,3.0,0.07,0.34,0.87,0.19,0.05,1.71,56.89,3531.6,1.01,1.29,35.91,44.7,46.95,44.17,725.37,208.1,92.19,1011.98,794.44,1143.35,3.0
2025-05-02 08:38:48.194898,58.0,120.0,90.31,111.82,79.72,7.62,1212.81,67.89,1.0,0.74,0.81,0.17,0.16,0.35,2.71,61.75,3359.77,1.03,2.47,42.27,47.87,42.18,40.68,726.76,203.46,88.94,881.08,906.99,1106.61,1.0
2025-05-02 11:43:22.304973,60.0,120.0,81.66,101.11,76.1,7.34,1289.37,67.28,2.0,0.31,0.07,0.05,0.05,0.5,3.37,64.17,3202.13,0.98,1.24,45.0,37.74,47.94,37.71,781.87,218.04,89.44,887.79,837.26,1218.44,2.0
2025-05-02 11:43:22.311441,63.0,120.0,85.96,106.95,75.25,8.21,1240.7,74.1,3.0,0.84,0.1,1.02,0.53,0.21,3.71,51.51,3286.35,1.01,2.4,42.4,43.69,41.78,42.61,774.33,185.45,87.29,894.71,960.82,1062.41,3.0
2025-05-02 11:43:22.429855,64.0,120.0,90.53,99.42,65.02,8.83,1243.32,45.0,1.0,0.75,0.77,0.35,0.66,0.37,2.91,68.91,3444.72,0.95,2.83,44.64,44.2,47.57,43.81,761.65,182.61,86.1,1024.08,767.63,1278.56,1.0
2025-05-02 11:43:22.436092,65.0,120.0,90.92,98.64,57.08,6.02,1205.11,45.0,1.0,0.47,0.65,0.36,0.38,0.63,2.0,49.38,3428.35,0.88,1.83,43.36,42.55,42.49,47.44,733.92,227.22,88.6,986.36,795.85,1292.74,1.0
2025-05-02 11:43:27.317526,68.0,120.0,87.19,99.42,65.85,6.36,1202.53,59.84,3.0,1.06,1.03,0.05,0.05,0.42,3.91,97.56,3414.7,0.85,1.75,38.02,42.97,46.22,48.48,715.21,224.1,87.94,1046.74,650.0,1256.85,3.0
2025-05-02 11:43:27.440279,69.0,120.0,82.22,105.29,64.06,1.7,1189.75,79.54,1.0,0.05,0.35,0.4,0.05,0.58,2.29,88.05,3151.35,1.09,2.16,38.0,39.02,42.82,46.49,743.53,218.46,85.81,991.38,730.6,1265.32,1.0
2025-05-02 11:43:32.326815,71.0,120.0,92.35,114.51,78.28,6.39,1148.77,62.65,2.0,0.92,0.97,0.84,0.33,0.38,1.43,85.01,3394.99,0.91,2.08,35.55,43.27,43.96,43.78,715.34,210.91,86.18,847.43,737.2,1167.95,2.0
2025-05-02 11:43:32.448509,74.0,120.0,90.12,110.07,74.4,5.43,1228.96,52.8,3.0,0.55,0.71,0.58,0.05,0.46,0.5,39.29,3544.36,0.89,0.92,40.22,46.05,44.16,43.39,798.87,185.28,88.37,1057.33,812.2,963.16,3.0
2025-05-02 11:43:37.335728,76.0,120.0,94.15,83.4,65.62,2.05,1164.71,64.93,2.0,0.18,0.36,0.28,0.4,0.05,2.81,85.93,3208.46,1.01,1.53,41.65,36.53,46.3,53.38,705.26,209.4,87.28,1136.1,787.83,1090.83,2.0
2025-05-02 11:43:37.457561,79.0,120.0,88.34,93.71,71.36,5.41,1218.66,57.18,3.0,0.1,0.05,0.48,0.28,0.14,0.99,38.57,3500.81,0.86,1.54,35.49,43.96,42.84,49.52,761.24,208.71,85.9,870.32,946.56,1306.65,3.0
2025-05-02 11:43:42.345040,81.0,120.0,83.43,100.77,78.43,8.9,1217.79,50.67,2.0,1.42,0.19,0.71,0.45,0.67,2.62,86.92,3421.72,0.93,1.71,42.17,46.29,42.14,39.98,769.38,204.1,90.79,973.11,765.03,1168.41,2.0
2025-05-02 11:43:42.465584,82.0,120.0,92.25,114.65,57.54,6.96,1291.46,45.0,1.0,0.45,0.11,0.59,0.57,0.48,2.32,71.83,3343.97,1.06,1.51,41.67,43.47,39.83,48.15,757.68,224.65,86.12,957.55,769.14,1071.22,1.0
2025-05-02 11:43:47.353761,84.0,120.0,88.23,98.08,72.06,3.84,1291.0,56.2,2.0,0.63,0.53,0.28,0.08,0.09,1.76,70.0,3371.32,1.09,1.67,32.25,42.82,42.57,46.32,755.96,203.21,89.06,885.75,884.75,1255.44,2.0
2025-05-02 11:43:47.474055,87.0,120.0,86.62,103.72,69.27,6.26,1218.08,62.11,3.0,0.57,0.63,0.05,0.32,0.32,2.4,77.72,3337.17,0.92,1.0,34.29,39.98,45.9,53.66,776.46,171.97,85.37,898.64,759.98,1115.6,3.0
2025-05-02 11:43:52.361614,90.0,120.0,94.8,111.65,72.38,4.2,1208.74,45.0,3.0,0.39,0.64,0.47,0.24,0.55,1.62,96.72,3169.35,1.06,3.15,36.79,41.69,43.19,39.71,731.59,187.28,86.07,914.31,830.14,1152.46,3.0
2025-05-02 11:43:52.481845,93.0,120.0,83.01,123.49,50.0,5.48,1242.05,47.68,3.0,0.08,0.28,0.21,0.32,0.05,1.3,88.64,3263.9,0.93,2.2,39.87,44.41,47.47,48.05,704.44,202.93,89.23,1198.71,986.13,1050.07,3.0
2025-05-02 11:43:57.369641,96.0,120.0,88.83,96.75,65.4,7.25,1240.28,77.86,3.0,0.92,0.65,0.69,0.17,0.37,0.5,80.18,3248.91,0.99,1.7,40.14,43.92,38.81,56.89,721.3,219.61,89.24,1057.54,821.32,978.54,3.0
2025-05-02 11:43:57.490883,99.0,120.0,88.48,96.27,58.71,3.53,1223.64,71.63,3.0,0.42,0.45,0.47,0.28,0.05,0.5,53.47,3304.57,1.07,1.76,44.43,46.19,45.74,48.5,767.8,190.41,87.38,1080.75,793.44,1253.76,3.0
2025-05-02 11:44:02.378384,102.0,120.0,86.25,107.84,66.42,4.87,1076.53,46.0,3.0,1.22,0.68,0.69,0.21,0.64,2.45,96.98,3536.48,1.04,0.84,39.76,46.08,43.19,41.23,716.23,214.8,87.75,915.36,738.37,1161.79,3.0
2025-05-02 11:44:02.498838,105.0,120.0,82.93,115.01,55.42,9.46,1205.63,54.75,3.0,0.27,1.07,0.39,0.05,0.05,3.83,72.73,3279.88,0.98,2.73,41.92,45.71,41.74,47.07,796.08,192.92,87.01,1068.42,914.84,1064.48,3.0
2025-05-02 11:44:07.386264,108.0,120.0,92.18,118.25,50.0,2.04,1216.59,53.38,3.0,0.05,0.33,0.6,0.05,0.05,1.55,110.82,3121.36,0.85,2.27,34.54,47.93,45.18,42.16,762.34,182.87,89.6,1067.88,831.48,946.13,3.0
2025-05-02 11:44:07.506553,111.0,120.0,89.58,114.41,65.57,8.95,1086.88,72.08,3.0,0.7,0.76,0.6,0.33,0.08,0.5,50.12,3312.87,1.15,1.07,40.02,43.86,47.46,42.48,744.53,175.69,90.69,1236.49,865.72,1313.94,3.0
2025-05-02 11:44:07.677016,114.0,120.0,80.75,108.68,70.05,1.76,1234.34,80.0,3.0,0.4,0.6,0.18,0.57,0.07,2.21,57.6,3522.84,0.85,2.96,41.02,44.43,46.69,42.35,774.69,225.66,86.28,930.47,838.91,1194.82,3.0
2025-05-02 11:44:07.684189,116.0,120.0,87.53,104.59,83.84,5.66,1094.82,68.72,2.0,1.19,0.66,0.13,0.18,0.05,2.1,77.63,3600.0,0.85,1.95,39.38,41.56,41.95,47.92,743.31,180.96,89.54,967.95,951.29,1153.22,2.0
2025-05-02 11:44:09.835195,119.0,120.0,84.07,113.47,83.5,5.67,1242.94,67.45,3.0,0.05,0.49,0.12,0.43,0.05,0.75,68.38,3408.54,1.07,2.83,38.93,47.75,48.49,37.52,726.05,204.81,88.64,1112.35,924.59,1183.73,3.0
2025-05-02 11:44:09.840534,122.0,120.0,90.73,98.65,78.19,4.47,1180.26,56.07,3.0,0.35,0.53,0.31,0.33,0.18,4.28,30.0,3255.27,0.86,2.67,43.21,43.46,46.51,49.28,788.14,215.15,88.96,800.0,837.71,1081.01,3.0
2025-05-02 11:44:10.998932,123.0,120.0,88.5,114.9,71.7,6.28,1227.32,66.41,1.0,0.33,0.12,0.26,0.05,0.45,2.55,52.35,3371.45,1.09,2.09,41.29,41.5,48.83,52.59,744.89,206.23,86.35,1066.36,819.73,1189.45,1.0
2025-05-02 11:44:11.004045,124.0,120.0,94.1,84.39,52.3,4.15,1120.69,45.0,1.0,0.25,0.19,0.08,0.53,0.52,4.17,109.81,3426.11,1.01,2.56,43.05,40.53,39.6,38.46,759.94,207.42,87.44,1121.75,928.89,1287.7,1.0
2025-05-02 11:44:12.394651,126.0,120.0,90.43,107.24,78.72,4.81,1284.53,57.8,2.0,0.52,0.37,0.67,0.05,0.29,4.39,72.32,3288.35,0.94,1.82,35.95,40.03,45.82,48.36,722.0,191.81,89.58,1066.53,811.8,1108.71,2.0
2025-05-02 11:44:16.010144,128.0,120.0,88.31,108.62,82.31,5.27,1295.16,60.41,2.0,0.05,0.82,0.29,0.48,0.34,4.48,54.0,3288.24,1.03,2.14,39.83,45.27,45.64,55.79,759.2,205.88,88.72,1050.92,852.79,1190.15,2.0
2025-05-02 11:44:17.402895,131.0,120.0,97.24,97.93,64.41,5.89,1165.88,45.11,3.0,0.15,0.93,0.67,0.43,0.41,1.75,34.0,3233.76,0.97,2.22,38.16,40.96,45.19,40.69,762.95,208.2,86.98,980.6,748.45,1221.88,3.0
2025-05-02 11:44:21.018928,134.0,120.0,94.45,98.84,50.0,5.38,1241.65,56.82,3.0,0.36,1.08,0.39,0.15,0.29,2.85,96.07,3404.78,1.08,2.49,43.32,44.86,46.84,48.73,700.76,194.04,88.47,998.66,792.17,1109.01,3.0
2025-05-02 11:44:22.410740,136.0,120.0,89.01,105.52,66.25,4.01,1240.01,55.82,2.0,0.77,0.49,0.95,0.52,0.41,1.84,69.19,3340.83,1.03,2.06,40.96,46.36,49.03,48.56,727.11,196.94,88.59,908.15,732.96,1230.22,2.0
2025-05-02 11:44:26.051964,138.0,120.0,87.21,95.28,56.78,7.5,1153.11,73.05,2.0,0.85,0.28,0.67,0.08,0.9,1.26,77.3,3289.44,1.06,1.86,34.52,45.16,43.81,42.37,749.5,176.62,89.33,1015.39,854.59,1070.3,2.0
2025-05-02 11:44:27.418781,139.0,120.0,90.14,106.46,53.2,11.27,1223.35,73.33,1.0,0.05,0.54,0.37,0.05,0.45,1.66,46.35,3430.17,0.99,3.2,36.69,41.93,41.25,44.65,741.69,183.94,89.95,1003.36,909.81,1168.08,1.0
2025-05-02 11:44:31.060823,141.0,120.0,90.73,101.5,52.19,1.0,1183.45,76.01,2.0,0.13,0.51,0.34,0.23,0.55,3.18,85.35,3370.35,0.85,2.78,42.53,46.97,48.23,46.4,749.0,212.16,90.81,1186.79,854.59,1227.25,2.0
2025-05-02 11:44:32.426002,144.0,120.0,87.36,113.99,61.75,2.23,1200.28,69.74,3.0,0.3,0.05,0.49,0.05,0.05,2.52,86.6,3320.5,1.01,1.71,44.96,40.9,46.37,49.93,796.16,183.01,87.85,1091.98,814.89,1181.28,3.0
2025-05-02 11:44:36.068435,147.0,120.0,89.66,110.01,73.15,2.35,1180.54,45.0,3.0,1.49,0.61,0.38,0.25,0.68,1.5,79.04,3335.98,1.11,2.11,45.64,42.98,39.92,44.62,815.9,214.2,89.49,914.7,865.93,1220.43,3.0
2025-05-02 11:44:37.432932,150.0,120.0,100.0,80.0,71.93,6.32,1319.05,61.47,3.0,0.7,0.56,0.2,0.05,0.08,1.93,69.76,3386.58,0.91,2.31,35.74,45.49,50.63,41.02,766.97,209.7,91.6,1001.34,954.26,952.8,3.0
2025-05-02 11:44:41.078947,151.0,120.0,96.86,114.47,83.49,1.35,1209.4,60.8,1.0,0.23,0.69,0.77,0.67,0.64,1.76,67.15,3418.4,1.15,2.72,41.37,41.67,46.82,43.7,784.88,196.14,85.58,861.16,954.33,1033.76,1.0
2025-05-02 11:44:42.440264,152.0,120.0,87.39,100.42,77.69,2.09,1127.61,80.0,1.0,0.35,0.08,0.05,0.46,0.36,4.38,31.59,3257.4,1.03,1.45,44.16,44.38,42.18,46.9,751.75,194.02,87.23,940.36,908.03,1190.64,1.0
2025-05-02 11:44:46.086561,155.0,120.0,93.85,98.29,62.23,3.76,1161.28,80.0,3.0,0.29,0.38,0.52,0.5,0.54,1.15,89.67,3344.05,1.03,2.97,41.34,43.18,46.93,46.58,797.13,190.14,92.84,800.0,765.08,1153.67,3.0
2025-05-02 11:44:47.447118,158.0,120.0,80.3,113.81,66.41,1.0,1120.09,64.82,3.0,0.57,0.26,0.37,0.08,0.26,2.68,76.2,3280.31,0.97,2.71,35.99,42.24,47.09,47.17,720.48,220.66,87.58,1095.08,858.9,1133.77,3.0
2025-05-02 11:44:51.096270,160.0,120.0,84.29,101.7,50.0,5.17,1245.82,58.22,2.0,0.37,0.7,0.05,0.45,0.05,2.03,77.48,3510.01,0.91,1.79,43.76,41.69,45.25,45.01,709.4,205.04,89.62,874.78,866.16,1058.4,2.0
2025-05-02 11:44:52.452978,161.0,120.0,96.88,103.07,74.18,2.0,1228.23,80.0,1.0,0.12,0.27,1.07,0.4,0.46,2.66,46.99,3325.43,0.96,1.76,44.74,42.97,49.23,61.69,774.72,209.39,87.46,975.62,717.41,1286.58,1.0
2025-05-02 11:44:56.104084,163.0,120.0,93.47,93.07,84.13,9.41,1131.55,63.33,2.0,0.33,0.31,0.33,0.32,0.05,1.84,79.32,3446.32,1.1,3.41,37.4,43.74,44.16,46.48,781.17,207.0,90.38,832.08,779.08,1156.39,2.0
2025-05-02 11:44:57.461450,165.0,120.0,94.84,94.85,85.0,8.56,1169.68,55.66,2.0,1.12,0.86,0.79,0.5,0.37,2.75,85.92,3450.1,0.94,1.88,39.78,45.87,48.61,53.65,737.57,190.96,86.93,960.71,786.62,1075.71,2.0
2025-05-02 11:45:01.112061,168.0,120.0,85.0,118.63,56.73,6.59,1328.97,46.37,3.0,0.05,0.4,0.44,0.25,0.55,2.88,86.42,3231.29,0.99,1.79,37.64,41.42,41.09,48.87,741.16,202.87,90.8,962.97,776.27,1179.87,3.0
2025-05-02 11:45:02.468761,169.0,120.0,90.15,112.16,72.58,4.81,1114.16,55.84,1.0,0.33,0.5,0.34,0.07,0.13,1.39,57.85,3358.41,1.15,1.29,40.47,39.0,46.82,45.13,767.44,226.69,87.41,1000.54,827.37,1201.16,1.0
2025-05-02 11:47:58.128737,274.0,120.0,91.53,121.29,50.0,7.26,1159.21,47.45,4.0,0.72,0.48,0.65,0.31,0.28,3.56,68.53,3429.07,0.97,2.62,39.97,38.13,43.11,43.91,724.38,204.72,88.99,955.66,768.26,1190.63,3.0
2025-05-02 11:47:58.136121,379.0,120.0,87.64,104.76,61.21,3.79,1175.11,67.03,7.0,0.63,0.05,0.05,0.35,0.56,3.44,75.15,3440.46,0.91,2.47,38.9,43.86,40.18,43.97,801.93,194.85,88.56,915.17,907.09,1070.44,3.0
2025-05-02 11:47:58.245561,414.0,120.0,96.17,111.71,78.77,3.89,1154.07,51.49,8.0,0.88,0.76,0.09,0.22,0.45,0.57,114.17,3283.57,1.03,1.06,44.3,40.2,49.02,51.01,715.73,194.94,88.61,925.59,796.15,1215.63,1.0
2025-05-02 11:47:58.255442,484.0,120.0,83.28,115.28,50.0,2.87,1112.19,48.96,10.0,0.56,0.75,0.6,0.54,0.29,1.03,30.0,3378.62,0.99,2.32,40.25,42.98,45.37,47.22,719.46,184.16,88.25,894.43,891.94,1071.79,2.0
2025-05-02 11:48:03.142180,554.0,120.0,87.51,125.9,62.35,3.04,1215.38,75.64,12.0,0.6,0.05,0.33,0.63,0.16,2.63,81.99,3448.69,1.08,1.98,37.06,39.16,42.14,44.32,739.99,195.07,84.95,947.62,651.16,1337.21,2.0
2025-05-02 11:48:03.260770,624.0,120.0,91.82,105.6,58.97,4.65,1276.19,66.45,14.0,0.65,0.98,0.05,0.38,0.62,2.37,81.62,3331.69,0.96,1.69,37.1,38.33,44.22,49.99,753.18,167.35,87.17,913.69,790.27,1206.91,2.0
2025-05-02 11:48:08.151565,659.0,120.0,83.4,101.07,66.42,2.85,1152.95,66.98,15.0,0.93,0.43,0.27,0.33,0.89,1.13,122.59,3458.85,1.04,1.86,41.16,45.13,40.25,35.4,786.92,198.32,88.24,1098.27,950.39,1400.0,1.0
2025-05-02 11:48:08.269297,764.0,120.0,87.39,115.11,59.85,3.68,1148.15,57.74,18.0,0.68,0.46,0.05,0.05,0.79,1.28,57.5,3129.13,1.07,1.27,50.0,43.36,44.66,41.48,755.17,207.73,89.7,975.04,742.61,1119.94,3.0
2025-05-02 11:48:13.159648,834.0,120.0,97.53,94.82,54.28,4.04,1210.36,45.0,20.0,1.0,0.48,0.05,0.05,0.05,2.25,39.01,3363.49,0.94,2.32,36.37,43.64,48.06,51.86,777.2,179.31,90.69,996.43,912.44,1194.16,2.0
2025-05-02 11:48:13.276982,939.0,120.0,93.32,120.73,69.7,7.5,1206.8,80.0,23.0,0.8,0.37,0.05,0.16,0.26,1.49,57.44,3443.75,1.02,1.6,42.69,46.72,38.0,43.83,767.68,247.3,86.69,836.45,903.24,1220.04,3.0
2025-05-02 11:48:18.168584,1044.0,120.0,94.23,100.7,65.9,6.06,1277.58,45.0,26.0,0.79,0.61,0.36,0.12,0.4,1.41,45.05,3273.96,1.07,1.35,44.43,42.85,48.54,42.21,773.65,177.4,87.34,1144.26,753.09,1350.57,3.0
2025-05-02 11:48:18.285296,1149.0,120.0,90.22,122.4,69.12,4.75,1227.99,65.25,29.0,1.34,0.05,1.06,0.06,0.6,2.17,68.02,3263.7,0.92,1.82,38.06,38.71,44.43,46.12,785.57,175.33,87.39,1202.07,758.7,1044.22,3.0
2025-05-02 11:48:23.178020,1254.0,120.0,93.07,108.92,70.33,5.2,1199.21,45.0,32.0,0.05,0.07,0.37,0.05,0.36,1.97,64.72,3357.92,1.15,2.39,41.76,42.44,43.62,38.64,747.41,170.7,89.01,1104.64,856.63,1233.25,3.0
2025-05-02 11:48:23.296767,1289.0,120.0,88.55,102.96,61.2,6.49,1204.04,57.96,33.0,0.33,0.23,0.05,0.08,0.06,0.73,76.84,3555.47,0.88,2.53,37.34,43.86,46.65,47.36,704.7,202.2,90.43,955.58,746.15,1120.72,1.0
2025-05-02 11:48:28.186893,1359.0,120.0,98.12,113.55,85.0,1.0,1167.48,75.88,35.0,0.51,0.4,0.14,0.53,0.41,2.44,101.93,3486.6,0.97,2.37,37.21,42.48,52.45,46.37,731.15,193.6,86.53,966.72,825.76,1108.73,2.0
2025-05-02 11:48:28.305819,1464.0,120.0,89.43,99.83,85.0,5.41,1207.58,53.95,38.0,0.26,0.56,0.2,0.18,0.81,2.87,53.94,3216.24,0.98,2.75,41.22,41.63,43.27,44.11,725.24,201.48,86.98,1074.83,809.0,1100.3,3.0
2025-05-02 11:48:33.219563,1569.0,120.0,85.52,113.54,64.68,4.84,1131.42,68.62,41.0,0.21,0.15,0.22,0.05,0.05,4.78,54.17,3339.55,0.98,1.0,40.04,44.06,46.12,31.8,737.98,172.07,88.53,960.91,880.15,1021.05,3.0
2025-05-02 11:48:33.314846,1674.0,120.0,93.54,121.23,72.97,6.93,1176.93,56.47,44.0,0.1,0.32,0.79,0.33,0.36,3.89,68.81,3387.48,0.95,1.71,40.65,42.16,47.11,37.62,718.49,201.2,87.94,1016.81,860.08,991.79,3.0
